Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G2_19	2082	0.998	248.691	11.945%	38.296	6.612%	0.02623	0.998
G2_20	3685	0.999	290.086	7.872%	41.399	3.757%	0.01136	0.999
G2_21	4374	0.999	397.092	9.078%	60.375	5.161%	0.01118	0.998
G2_22	531	0.989	139.802	26.328%	21.038	14.698%	0.09693	0.987
G2_23	2208	0.998	239.798	10.86%	39.624	5.772%	0.02315	0.998
G2_24	1456	0.997	223.597	15.357%	36.081	7.979%	0.03925	0.996
G2_25	2732	0.999	248.951	9.112%	38.147	4.504%	0.01547	0.999
G2_26	1583	0.997	242.113	15.295%	37.056	7.733%	0.0411	0.997
G2_27	3764	0.999	352.022	9.352%	57.4	5.207%	0.01463	0.998
G2_28	4527	0.999	334.356	7.386%	47.689	3.697%	0.00983	0.999
G2_29	4836	0.999	351.657	7.272%	63.916	4.416%	0.009	0.999
G2_30	4960	0.999	351.188	7.08%	53.028	3.453%	0.00914	0.999
G2_31	804	0.995	152.772	19.001%	22.374	9.805%	0.05629	0.995
G2_32	2631	0.999	256.91	9.765%	39.945	5.166%	0.01811	0.998
G2_33	1948	0.999	191.929	9.853%	30.289	4.954%	0.02086	0.999
G2_34	1221	0.997	179.094	14.668%	25.997	7.854%	0.03728	0.997
G2_35	2774	0.999	252.897	9.117%	38.122	4.585%	0.01602	0.999
G2_36	1565	0.997	236.295	15.099%	33.305	7.758%	0.03241	0.997
G2_37	2162	0.998	257.73	11.921%	40.002	6.675%	0.02137	0.997
G2_38	3072	0.999	277.589	9.036%	40.696	4.674%	0.01686	0.999
G2_39	3424	0.998	360.8	10.537%	56.515	6.025%	0.01529	0.998
G2_40	979	0.998	145.558	14.868%	21.2	6.99%	0.04656	0.997
G2_41	1741	0.999	176.706	10.15%	23.756	4.806%	0.02358	0.999
G2_42	3695	0.999	278.951	7.549%	42.799	3.787%	0.0108	0.999
G2_43	2091	0.998	257.284	12.304%	38.784	6.338%	0.02686	0.998
G2_44	3214	0.999	329.745	10.26%	50.398	5.033%	0.01423	0.999
G2_45	3487	0.999	301.617	8.65%	52.614	4.508%	0.01138	0.999
G2_46	1579	0.997	215.93	13.675%	35.248	7.6%	0.03031	0.997
G2_47	931	0.995	164.883	17.71%	29.264	10.044%	0.06391	0.994
G2_48	3198	0.997	347.073	10.853%	62.701	7.18%	0.01246	0.997
G2_49	2484	0.999	221.694	8.925%	32.662	4.389%	0.01552	0.999
G2_50	4625	0.999	295.705	6.394%	51.044	3.406%	0.00625	0.999
G2_51	2513	0.998	288.583	11.484%	43.422	5.69%	0.02027	0.998
G2_52	3129	0.998	311.046	9.941%	51.187	5.658%	0.01601	0.998
G2_53	1307	0.998	183.987	14.077%	26.554	6.931%	0.03804	0.997
G2_54	3814	0.999	327.565	8.588%	56.491	4.781%	0.01042	0.999
G2_55	2702	0.999	260.327	9.635%	34.682	4.591%	0.01933	0.999
