Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G2_67	2583	0.996	481.991	18.66%	85.541	12.969%	0.03535	0.996
G2_68	3891	0.999	337.85	8.683%	47.715	4.057%	0.01365	0.999
G2_69	1981	0.998	275.656	13.915%	45.865	8.405%	0.02765	0.998
G2_70	3681	0.998	405.037	11.003%	70.489	6.432%	0.01597	0.998
G2_71	1959	0.998	262.687	13.409%	42.922	7.782%	0.02865	0.997
G2_72	3054	0.997	442.334	14.484%	74.979	8.724%	0.02419	0.997
G2_73	2423	0.998	352.324	14.541%	66.128	9.506%	0.02525	0.998
G3_1	2181	0.999	286.357	13.13%	49.825	5.896%	0.035	0.999
G3_2	4840	1.0	318.28	6.576%	49.56	2.476%	0.01348	1.0
G3_3	737	0.999	103.951	14.105%	13.891	4.814%	0.06203	0.999
G3_4	4459	0.999	619.4	13.891%	131.706	7.359%	0.02449	0.999
G3_5	1883	0.999	230.301	12.231%	40.754	5.435%	0.03416	0.998
G3_6	1044	0.998	158.779	15.209%	24.835	6.279%	0.05379	0.998
G3_7	1587	0.999	182.262	11.485%	28.991	4.382%	0.03986	0.999
G3_8	2192	0.999	218.194	9.954%	34.731	3.68%	0.0269	0.999
G3_9	3946	1.0	402.604	10.203%	79.82	4.741%	0.02008	1.0
G3_10	3394	0.999	374.856	11.045%	79.472	5.902%	0.01837	0.999
G3_11	4342	0.999	472.713	10.887%	103.392	6.293%	0.0191	0.999
G3_12	4806	0.999	630.985	13.129%	184.973	8.295%	0.02633	0.999
G3_13	2750	0.998	449.852	16.358%	99.615	10.259%	0.03583	0.998
G3_14	2005	0.999	195.317	9.741%	33.977	4.38%	0.02955	0.999
G3_15	3893	1.0	330.527	8.49%	63.045	4.077%	0.01554	1.0
G3_16	957	0.999	121.749	12.722%	19.206	4.704%	0.05873	0.999
G3_17	1298	0.994	335.88	25.877%	66.53	15.665%	0.07704	0.994
G3_18	2578	0.999	244.066	9.467%	53.229	4.742%	0.02057	0.999
G3_19	1631	0.999	234.099	14.353%	43.415	7.21%	0.03805	0.999
G3_20	3862	1.0	317.7	8.226%	62.536	3.858%	0.01494	1.0
G3_21	1153	0.998	229.297	19.887%	40.983	9.699%	0.06962	0.998
G3_22	3197	0.998	466.325	14.586%	99.335	9.238%	0.031	0.998
G3_23	3413	0.999	443.59	12.997%	115.505	8.113%	0.02993	0.999
G3_24	1079	0.999	164.494	15.245%	28.144	6.799%	0.0499	0.999
G3_25	4095	1.0	224.524	5.483%	43.061	2.164%	0.00719	1.0
G3_26	691	0.998	144.488	20.91%	29.832	9.933%	0.07472	0.998
G3_27	1213	0.999	217.792	17.955%	35.12	7.36%	0.06195	0.999
G3_28	3180	1.0	219.639	6.907%	43.939	2.919%	0.0107	1.0
G3_29	1714	0.999	194.651	11.357%	33.657	4.546%	0.02771	0.999
G3_30	5047	1.0	385.997	7.648%	78.213	3.462%	0.01197	1.0
G3_31	2940	0.999	311.25	10.587%	63.613	4.99%	0.02288	0.999
G3_32	683	0.998	131.362	19.233%	23.659	7.826%	0.08633	0.998
G3_33	2164	1.0	214.801	9.926%	39.348	4.075%	0.02519	1.0
G3_34	4961	1.0	286.309	5.771%	49.856	2.279%	0.00809	1.0
G3_35	1992	0.999	205.978	10.34%	37.876	4.556%	0.0297	0.999
G3_36	659	0.998	105.862	16.064%	14.813	5.561%	0.07947	0.998
G3_37	3844	0.999	447.619	11.645%	108.878	6.867%	0.02453	0.999
G3_38	2100	0.999	356.991	17.0%	74.798	9.208%	0.04152	0.999
G3_39	3055	0.999	295.592	9.676%	61.933	4.414%	0.01815	0.999
G3_40	4104	0.999	367.857	8.963%	68.318	4.522%	0.01844	0.999
G3_41	4147	0.999	716.554	17.279%	145.882	9.16%	0.03619	0.999
G3_42	2484	0.999	366.31	14.747%	96.723	8.494%	0.03689	0.999
G3_43	4102	1.0	358.543	8.741%	64.728	3.822%	0.01578	1.0
G3_44	2424	1.0	174.048	7.18%	26.337	2.304%	0.01711	1.0
G3_45	1273	0.999	178.876	14.052%	28.967	5.895%	0.04724	0.999
G3_46	1583	0.999	245.763	15.525%	55.238	8.98%	0.04004	0.999
G3_47	1494	0.999	153.255	10.258%	22.465	3.471%	0.03476	0.999
G3_48	1440	0.999	164.089	11.395%	29.089	3.919%	0.10092	0.999
G3_49	2810	0.999	273.115	9.719%	49.028	4.389%	0.01786	0.999
G3_50	2946	0.999	270.893	9.195%	44.2	3.899%	0.02043	0.999
G3_51	3774	0.999	349.661	9.265%	63.667	4.383%	0.01619	0.999
G3_52	1839	0.998	256.926	13.971%	50.824	6.46%	0.03059	0.998
G3_53	1326	0.999	170.137	12.831%	30.47	5.234%	0.04262	0.999
G3_54	871	0.999	127.376	14.624%	19.135	5.354%	0.05751	0.999
G3_55	4792	1.0	342.274	7.143%	70.078	3.208%	0.01007	1.0
